Country,C1,C2,C3,C4,C6,C7,C8,C9
Belgium,0.6,17.4,537.8,7.4,53.4,76.76,19.9,14.5
Bulgaria,12.9,12,468.5,8.2,25,53.9,17.9,26.9
Czechia,3.9,14.3,588.4,7.1,23.2,78,25.2,13.2
Denmark,2.3,17.1,1021,3,42.5,94.2,20.0,9.9
Germany (until 1990 former territory of the FRG),1.9,26.1,553.4,4.5,65.2,95.41,15.8,12.5
Estonia,4.7,12.8,1316.1,6.6,19.1,81,16.4,15.7
Ireland,0.6,9,1015.6,3.5,36.6,58.78,17.2,10.7
Greece,7,25.1,576.7,8.9,17,92.03,18.4,20.1
Spain,1.3,15,556,4,29.8,88.7,19.3,10.1
France,2.6,17,840.5,5.6,37.7,80.17,14.9,14.7
Croatia,9.6,10.1,,9.2,14.7,36.9,14.2,3.2
Italy,8.4,17.9,458.7,6.3,38.4,57.6,21.1,14.9
Cyprus,1.2,25.7,787.8,5.9,12.5,,18.7,15.5
Latvia,16.4,15.4,1126.9,8.7,14.7,67.58,23.1,17
Lithuania,7.1,13.3,803.9,10.1,23.5,63.06,8.1,5
Luxembourg,2.4,17,628.4,6.4,47.4,,17.0,14.4
Hungary,16.9,10.1,680.8,6.1,25.5,72.8,32.4,10.4
Malta,1,29.7,222.1,2.1,14.6,0,17.5,12.6
Netherlands,0.9,24.2,456.9,3.4,49.4,99.5,13.8,18.3
Austria,3.8,19.5,695.3,6.3,57.7,94.5,21.8,11.7
Poland,10.5,14.2,593.9,9.4,12,68.5,23.2,6.3
Portugal,4.3,23.8,601.8,6.8,26.1,,9.5,10.9
Romania,22.8,26.4,355.2,10.2,14.8,35.3,21.8,13.7
Slovenia,8.1,13.8,570.6,6.3,41.9,53.7,13.3,8.1
Slovakia,5.1,16,515.4,6.5,13.4,,22.2,9.6
Finland,0.8,14.2,2338.2,4.7,33.3,83,15.1,8.6
Sweden,1.7,13.8,2084.2,3,46.9,95,16.4,10.6
