Ai,TOPSIS,TOPSIS dir
BE,0.019083802084612564,-1.0
BG,0.018304986019279792,-1.0
CZ,0.004378151235665665,1.0
DK,0.016326984754237658,-1.0
DE,0.015656829621950797,-1.0
EE,0.00422897947709923,-1.0
IE,0.015437692404885465,-1.0
EL,0.037959503749684084,-1.0
ES,0.030439471014722868,-1.0
FR,0.036955011684346284,-1.0
HR,0.011093267631894123,1.0
IT,0.040705668343370166,1.0
CY,0.01996765388691806,-1.0
LV,0.06095536498337854,1.0
LT,0.031202952522502395,1.0
LU,0.011052322327608124,-1.0
HU,0.17917778756661007,1.0
MT,0.02154558040620403,-1.0
NL,0.027531854418234594,-1.0
AT,0.006587566376197554,1.0
PL,0.024990709059210546,1.0
PT,0.012677002311812314,-1.0
RO,0.12066421896356988,1.0
SI,0.008751465488325696,1.0
SK,0.015088291772029751,1.0
FI,0.009785644776919504,-1.0
SE,0.028673884460023166,-1.0
