Ai,VIKOR,VIKOR dir
BE,0.05111439780607831,1.0
BG,0.015632470271152128,1.0
CZ,0.01479661699267271,1.0
DK,0.06445386699360467,1.0
DE,0.0453300596139217,1.0
EE,0.029727719548385136,1.0
IE,0.06592196871219363,1.0
EL,0.06085224634260982,1.0
ES,0.08500052088771418,1.0
FR,0.09620208980119746,1.0
HR,0.010528484918324548,-1.0
IT,0.05349735065132176,-1.0
CY,0.06843658608483079,1.0
LV,0.04049165710181681,-1.0
LT,0.0662913249042198,-1.0
LU,0.028747060633288968,1.0
HU,0.15027152257744691,-1.0
MT,0.058423969805338774,1.0
NL,0.07502795320711783,1.0
AT,0.028288321084218936,-1.0
PL,0.031107603938564363,1.0
PT,0.03918660069716685,1.0
RO,0.0,0.0
SI,0.019677395230283536,1.0
SK,0.03173013878269713,-1.0
FI,0.0,0.0
SE,0.38616566400458513,1.0
