,2015,2016,2017,2018,2019,2020
BE,8,7,10,10,12,12
BG,24,24,24,25,25,26
CZ,14,14,13,14,10,8
DK,5,3,5,5,5,4
DE,10,10,12,12,13,7
EE,3,4,4,3,3,2
IE,4,5,3,4,4,5
EL,19,19,22,22,22,24
ES,9,9,8,6,9,18
FR,7,8,7,11,11,20
HR,20,21,20,21,20,19
IT,22,22,19,19,19,21
CY,6,6,6,7,6,10
LV,25,25,25,26,26,25
LT,21,20,21,20,21,16
LU,12,11,11,9,7,9
HU,26,26,26,23,23,22
MT,15,17,15,18,18,17
NL,11,12,9,13,14,14
AT,13,13,14,8,8,6
PL,23,23,23,24,24,23
PT,16,16,16,16,17,15
RO,27,27,27,27,27,27
SI,18,15,17,17,16,13
SK,17,18,18,15,15,11
FI,1,1,1,1,1,1
SE,2,2,2,2,2,3
